mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1777658996.098335,26141,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658996.3082979,26343,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658996.5179179,26545,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658996.6983209,26748,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658996.907438,26950,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658997.1202161,27152,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658997.328289,27355,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658997.5082939,27558,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658997.717814,27760,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658997.927516,27962,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658998.138298,28165,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658998.320281,28368,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658998.528356,28570,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658998.7382982,28772,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658998.9483461,28975,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658999.128028,29177,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658999.3383958,29379,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658999.5483751,29581,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658999.757483,29784,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658999.938078,29987,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659000.1483378,30189,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659000.3582988,30391,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659000.568487,30593,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659000.750609,30796,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659000.960861,30998,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659001.168475,31200,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659001.378376,31403,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659001.5588129,31605,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659001.767626,31807,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659001.978533,32009,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659002.158446,32212,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659002.36846,32415,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659002.578492,32617,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659002.7899241,32819,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659002.967686,33022,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659003.178541,33224,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659003.388212,33426,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659003.5985112,33628,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659003.778646,33831,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659003.988251,34034,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659004.198198,34236,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659004.408538,34438,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659004.588285,34640,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659004.798604,34843,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659005.008769,35045,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659005.220735,35247,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659005.398674,35450,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659005.62881,35652,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659005.8216581,35854,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659006.028567,36056,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659006.208699,36259,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659006.4186711,36462,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659006.628669,36664,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659006.838777,36866,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659007.021461,37069,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659007.231372,37271,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659007.438813,37473,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659007.648808,37675,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659007.82899,37878,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659008.038843,38081,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659008.248828,38283,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659008.460053,38485,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659008.6388931,38687,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659008.847935,38889,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659009.059581,39091,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659009.2686589,39293,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659009.447968,39495,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659009.6603708,39697,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659009.868854,39899,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659010.048724,40101,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659010.258581,40303,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659010.468919,40505,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659010.678124,40708,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659010.860461,40910,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659011.06898,41112,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659011.278949,41315,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659011.490481,41518,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659011.668875,41720,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659011.907952,41922,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659012.091485,42125,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659012.299387,42328,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659012.4789891,42530,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659012.6905432,42732,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659012.899093,42934,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659013.108984,43136,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659013.290751,43338,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659013.499063,43540,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659013.709051,43742,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659013.9188879,43944,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659014.099057,44146,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659014.309029,44348,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659014.519212,44550,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659014.72909,44752,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659014.908028,44955,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659015.119056,45157,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659015.329071,45359,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659015.5091178,45561,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659015.721997,45764,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659015.9296699,45966,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659016.1391711,46168,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659016.3183732,46371,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659016.532029,46574,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659016.739191,46776,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659016.949367,46978,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659017.13083,47180,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659017.338201,47382,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659017.549196,47584,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659017.760648,47786,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659017.939178,47988,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659018.1492639,48190,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659018.3599339,48392,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659018.569281,48594,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659018.749283,48796,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659018.958863,48998,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659019.168888,49200,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659019.378182,49403,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659019.5607948,49605,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659019.769345,49807,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659019.9793391,50010,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659020.188886,50213,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659020.369401,50415,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659020.5793548,50618,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659020.790825,50821,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659020.99842,51023,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659021.179209,51225,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659021.390796,51427,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659021.5994,51629,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659021.779287,51831,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777659021.9909089,52033,10.63,12.72,-0.00,-0.01,-0.01,-0.01
